web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1570308197-14,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,kashaun,Malfunctioning,10-Jun-19,0:000:00This video is not intended for all audiences. What date were you born?SubmitAdobe Flash Player is required to watch this video.Install Flash Player The phone clearly has some internal malfunction going on and this isn’t the performance i paid for definitely going to return this product for example i open an app the app automatically closes and there are things that appear on the screen every time the device is in power,1.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
1570308263-328,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mario b,Need help,30-Jun-19,"who is kind enough to buy me a iphone Xr, Am using a 6 and its veey glitchy????????",4.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&reviewerType=all_reviews
1570308225-145,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ariel,Awesome!,26-Sep-19,I’m happy with my phone so far. I’ve now had it for about 3 months. No issues so far and it came with a screen protector already installed,4.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews
1570308218-116,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Flora Caravalho,Price should be lower!,29-Sep-19,I disliked the fact that I could have bought a brand new phone at the same price the same week I received this cell phone because the iPhone 10 was just released and all the older phone prices went down. It was a bummer as I only received the phone and a charger and I could have received the full package deal.,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
1570308267-350,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fj Aguirre,"Good company , very professional, but sadly phone was not working well ?? so I had to return.",20-Jun-19,"Beautiful phone like new , they sent me a red one instead of blue but they were kind enough to Email me and made sure I was okay with it because they made a mistake and the blue wast available it had no scratches at all whatsoever , however I’m giving 4  starts because the company is very professional but  I had to return it, left speaker was not working and Bluetooth wasn’t working it couldn’t pair with any device , it’s a shame because I really loved the phone ??",4.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&pageNumber=35&reviewerType=all_reviews
1570308218-115,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kevin Tran,Great buy,29-Jun-19,"Great item. I was looking for an iPhone Xr and stumbled across this renewed version. Though it was “renewed,” it basically was factory new and it works perfectly.",5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
1570308269-359,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,M. Burt,Better value than the iPhone XS or XS Max,23-Jun-19,"This is my daily driver because it's as close to the perfect phone for me. This battery really last all day and some change, dual stereo speakers, amazing cameras. This phone can last you for 4-5 years with iOS updates.",5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews
1570308201-33,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ernesto Barreto,Totalmente inconforme con el producto,31-May-19,"El teléfono parece en buen estado, pero no traía auriculares y el cargador que recibí no sirve... la verdad no aconcejo comprar a este vendedor",1.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews
1570308246-246,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Great product,31-Jul-19,This iPhone is look like new and amazing product. I recommend it,5.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews
1570308278-395,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kevin Miles Finn,"Okay phone, poor value.",16-Aug-19,"So I had purchased the iPhone XR Yellow; XR for hearing aid compatibility and yellow because because it was the lowest price of all the colors. Go figure!
  The TLDR:  Ok phone that is not worth a $750 price tag.

First, cosmetically, the phone is nice to look at. The build feels premium. Though, that is where the beauty stops. With such an ugly notch, thick housing and large bezels, the XR is aging prematurely when compared to other phones in the same price point. The LCD screen, though grand for an LCD, feels dated. Even the shear weight of this phone will feel much heavier than other phones with a similar screen size.

The only major advantage of this phone is the battery life. I was able to get days of battery life after just a single charge. Unfortunately, the long battery life is somewhat trumped by the rediculously slow charge speed. If your XR has a low battery, be ready to plug it in overnight, because it will need a solid 8 hours to get back to a full charge. This felt like stepping back into the year 2013. This may be a good time to note that the charge cable and USB wall outlet adapter both feel cheap as though they were purchased from the dollar store.

Video streaming lagged consistently when I tried to play YouTube or NetFlix. I'm not sure why, but I would commonly see a spinning circle on screen instead of the video I was trying to watch. This was quite annoying. The XR has the fastest chip set on the planet, yet it didn't perform as such.

Apple still doesn't have Type-C on their 2018 models. This also makes the phone feel dated when so many other products have moved on to Type-C.",2.0 out of 5 stars,Next page?,https://www.amazon.com/Apple-iPhone-XR-64GB-Red/product-reviews/B07P6Y8L3F/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews
