Created_Time,Tweet_text
Sat Oct 05 13:49:15 +0000 2019,The Media is “Fixed” and Corrupt. It bears no relationship to the truth. The @nytimes &amp; @washingtonpost are pure fi… https://t.co/RTyior3ET0
Sat Oct 05 04:35:28 +0000 2019,"""NEW EXTREME DEMS NOW RUNNING THE PARTY!"" https://t.co/nEAvcUGpZZ"
Sat Oct 05 04:17:14 +0000 2019,Thank you @KimStrassel and @AndrewCMcCarthy! https://t.co/aR6J1KIPRX
Sat Oct 05 04:11:38 +0000 2019,SHIFTY SCHIFF DUPED BY RUSSIAN PRANKSTERS! https://t.co/CpIL0b5FLW
Sat Oct 05 04:05:38 +0000 2019,https://t.co/GZH38uGdCK
Sat Oct 05 03:49:11 +0000 2019,Too bad! https://t.co/UFHAIlhoCe
Sat Oct 05 03:28:07 +0000 2019,https://t.co/N3FaZ5UVI0
Sat Oct 05 03:24:58 +0000 2019,Thank you @robertjeffress! https://t.co/GW4hFDbIpj
Sat Oct 05 03:24:27 +0000 2019,“Report: ‘Whistleblower’ Never Disclosed Contact with House Intel Panel to Inspector General”https://t.co/Pmhqdgmxba
Sat Oct 05 03:24:18 +0000 2019,GREAT BOOK! https://t.co/LrRr1xhS0d
Sat Oct 05 03:22:45 +0000 2019,“Pelosi Blatantly Lies During @GMA Interview About Schiff's Reading of Ukraine Transcript”https://t.co/a6HEwMnEmU
Sat Oct 05 03:12:08 +0000 2019,Where is the LameStream Media on this? https://t.co/Qaak5dvyKC
Sat Oct 05 02:58:05 +0000 2019,Thanks Jim. Would be great to just run our Country! https://t.co/8GcmgQaVYK
Sat Oct 05 02:31:10 +0000 2019,“Ex-Envoy testified Ukraine (or the President of Ukraine) never raised Quid Pro Quo concerns with him: source.”… https://t.co/TiaOFDWVgL
Sat Oct 05 02:25:19 +0000 2019,"“It isn’t often I get angry at the dirty politics of the Democrats in Congress, but this time I am enraged and hope… https://t.co/P74RRbmUc2"
Sat Oct 05 00:55:23 +0000 2019,"Along with Pelosi and her boss AOC, the Do Nothing Democrat “leader.” https://t.co/PILyE1c220"
Fri Oct 04 23:25:27 +0000 2019,"Join me at the Target Center in Minneapolis, Minnesota next Thursday, October 10th at 7:00pm! Tickets:… https://t.co/QAW29tr775"
Fri Oct 04 22:33:42 +0000 2019,"My daughter Ivanka will be on @trish_regan tonight on @FoxBusiness at 8:00 P.M., following the great @LouDobbs at 7:00. Enjoy!"
Fri Oct 04 22:27:19 +0000 2019,"“Adam Schiff’s connection to the Whistleblower is coming to light.” @FoxNews  These facts, and others, make it impo… https://t.co/zkUegM6iwp"
Fri Oct 04 22:15:42 +0000 2019,LYIN’ SHIFTY SCHIFF! https://t.co/vSZgFz9fIS
Fri Oct 04 22:12:55 +0000 2019,“When your making an unsubstantiated charge that the President of the United States is making a request having to d… https://t.co/UKlifVbnxs
Fri Oct 04 22:05:09 +0000 2019,https://t.co/KYEzdMjl2k
Fri Oct 04 22:02:39 +0000 2019,I have just officially nominated Poland for entry into the Visa Waiver Program. With this decades long-awaited anno… https://t.co/hfSREYk5H6
Fri Oct 04 21:59:44 +0000 2019,"At the request of @SenThomTillis, I have declared a major disaster for the Great State of North Carolina to help wi… https://t.co/XFY4AXWPpJ"
Fri Oct 04 21:57:17 +0000 2019,"Under my Administration, Medicare Advantage premiums next year will be their lowest in the last 13 years. We are pr… https://t.co/rQzE63uEna"
Fri Oct 04 19:46:59 +0000 2019,"WOW, this is big stuff! https://t.co/H12yxMfua3"
Fri Oct 04 14:12:23 +0000 2019,“I think it’s outrages that a Whistleblower is a CIA Agent.”  Ed Rollins @FoxNews
Fri Oct 04 13:47:59 +0000 2019,"“The witness was asked at least 20 times, and there definitely was no Quid Pro Quo.”  @RepMarkMeadows @FoxNews  The… https://t.co/vcC2EgMUSM"
Fri Oct 04 13:44:11 +0000 2019,"“When your making an unsubstantiated statement that the President is making a claim having to do with quid pro quo,… https://t.co/gC5OaMLlMP"
Fri Oct 04 13:29:38 +0000 2019,https://t.co/uYyoaCXuqu
Fri Oct 04 13:11:41 +0000 2019,"The Whistleblower, who had the facts wrong about the phone call, reached out, and more, to the Democrat controlled… https://t.co/NS6a1ESPj6"
Fri Oct 04 12:47:10 +0000 2019,"Breaking News: Unemployment Rate, at 3.5%, drops to a 50 YEAR LOW. Wow America, lets impeach your President (even t… https://t.co/zcxiZje0Pc"
Fri Oct 04 12:16:47 +0000 2019,"As President I have an obligation to end CORRUPTION, even if that means requesting the help of a foreign country or… https://t.co/VtIoWfGv91"
Fri Oct 04 11:51:52 +0000 2019,"The Washington Times, “Ukraine envoy blows ‘massive hole’ into Democrat accusations. Republicans at hearing find no… https://t.co/WsIropdsfT"
Fri Oct 04 02:42:38 +0000 2019,https://t.co/WaLS3cL5ng
Fri Oct 04 02:20:56 +0000 2019,"Nancy Pelosi today, on @GMA, actually said that Adam Schiffty Schiff didn’t fabricate my words in a major speech be… https://t.co/itjJ4LIO0f"
Fri Oct 04 01:56:21 +0000 2019,“They (Do Nothing Dems) are trying to nullify an election...” Joe diGenova https://t.co/0a7Apd4kUO
Fri Oct 04 01:44:10 +0000 2019,"This isn’t about a Campaign, this is about Corruption on a massive scale! https://t.co/DOCvfM8eqi"
Fri Oct 04 01:35:11 +0000 2019,"We are simultaneously fighting the Fake News Media and their partner, the Democrat Party. Always tough to beat the… https://t.co/FUz1WpnpNY"
Fri Oct 04 01:28:35 +0000 2019,Great job Jim! https://t.co/JMuE3pRWmk
Fri Oct 04 01:27:52 +0000 2019,AOC is a Wack Job! https://t.co/LU3hIeek0c
Fri Oct 04 01:22:20 +0000 2019,The Do Nothing Democrats don’t have time to get it done! https://t.co/2cwyMtT3Gu
Fri Oct 04 01:16:57 +0000 2019,Another big loss for the Do Nothing Dems! https://t.co/Pwp7dYdF8e
Fri Oct 04 01:04:38 +0000 2019,"As the President of the United States, I have an absolute right, perhaps even a duty, to investigate, or have inves… https://t.co/X8NmXJ5ey7"
Thu Oct 03 23:19:12 +0000 2019,"""...blowing MASSIVE holes inside of the theory, the narrative, that Chairman Schiff has been providing to the publi… https://t.co/aHzfNPkOJU"
Thu Oct 03 23:02:18 +0000 2019,The Greatest Witch Hunt in the history of our Country! https://t.co/5wvry1rkBT
Thu Oct 03 22:49:48 +0000 2019,"Today at The Villages in Florida, it was my great honor to sign an Executive Order on protecting and improving Medi… https://t.co/sv2YdQHxnB"
Thu Oct 03 21:21:44 +0000 2019,"“It was just a congenial phone call, but its become so big. I’ve never seen the Media work so hard with so little.”… https://t.co/zGZQFBEVZU"
Thu Oct 03 20:59:06 +0000 2019,"Thank you @JennaEllisRives, really well done! https://t.co/N2VsQ8y0rb"
Thu Oct 03 20:53:41 +0000 2019,DRAIN THE SWAMP! https://t.co/N3FaZ5Dkjq
Thu Oct 03 20:44:21 +0000 2019,“This is yet again an example of Democrats projecting THEIR criminal acts on President Trump. President Trump is an… https://t.co/L20wvoXD9x
Thu Oct 03 20:36:46 +0000 2019,“Trump Fundraising Haul Shows Impeachment Backfiring on Dems” https://t.co/LM1hTQX0lY
Thu Oct 03 20:32:05 +0000 2019,There wasn’t ANYTHING said wrong in my conversation with the Ukrainian President. This is a Democrat Scam!
Thu Oct 03 19:56:51 +0000 2019,Great time at The Villages in Florida today. Sorry we couldn’t get everybody in. I will be back soon! https://t.co/ia87A0sEue
Thu Oct 03 19:27:37 +0000 2019,ELECTION INTERFERENCE!
Thu Oct 03 17:16:47 +0000 2019,"95% Approval Rating in the Republican Party, and record setting fundraising that has taken place over the past two weeks. Thank you!"
Thu Oct 03 17:04:36 +0000 2019,"Leader McCarthy, we look forward to you soon becoming Speaker of the House. The Do Nothing Dems don’t have a chance! https://t.co/uWPdGJg99F"
Thu Oct 03 15:36:45 +0000 2019,https://t.co/2TfEyp1dHX
Thu Oct 03 13:40:19 +0000 2019,"Fake News, just like the snakes and gators in the moat. The Media is deranged, they have lost their minds! https://t.co/rk26SXj4il"
Thu Oct 03 12:09:33 +0000 2019,Schiff is a lowlife who should resign (at least!). https://t.co/nGp9aFP3rX
Thu Oct 03 11:36:23 +0000 2019,Schiff is a lying disaster for our Country. He should resign! https://t.co/ytwEy5NasJ
Thu Oct 03 11:33:00 +0000 2019,The Republican Party has never had such support! https://t.co/P6GHgBv3v9
Thu Oct 03 11:31:53 +0000 2019,Book is doing really well. A study in unfairness to a potentially great Justice! https://t.co/i6GwghuEsU
Thu Oct 03 11:29:53 +0000 2019,Thank you Hugh! https://t.co/So77AMeK5u
Thu Oct 03 11:28:49 +0000 2019,A great book by a brilliant author. Buy it now! https://t.co/L8XC5Nnj4N
Thu Oct 03 11:22:55 +0000 2019,Great job Richard! https://t.co/Uv8xgZPshu
Thu Oct 03 10:52:11 +0000 2019,Keep up the great work Kellie! https://t.co/PcAnK009EW
Thu Oct 03 10:37:33 +0000 2019,“The Ukraine controversy continues this morning as new documents obtained by @FoxNews show that a former Ukrainian… https://t.co/3r7ERtRaou
Thu Oct 03 10:00:00 +0000 2019,"The U.S. won a $7.5 Billion award from the World Trade Organization against the European Union, who has for many ye… https://t.co/SG1RNogrpB"
Wed Oct 02 23:41:51 +0000 2019,DEMOCRATS WANT TO STEAL THE ELECTION! #KAG2020 https://t.co/hz6fWLId3L
Wed Oct 02 23:27:52 +0000 2019,"Mississippi, there is a VERY important election for Governor on November 5th. I need you to Get Out and Vote for ou… https://t.co/tWLM1SYM2d"
Wed Oct 02 21:06:36 +0000 2019,LOOK AT THIS PHOTOGRAPH! https://t.co/QQYTqG4KTt
Wed Oct 02 19:51:56 +0000 2019,"“Schiff, House Intel Chairman, Got Early Account of Whistle-Blower’s Accusations” 

SCHIFF IS A FRAUD!… https://t.co/eplnv1eLIF"
Wed Oct 02 15:48:47 +0000 2019,"The Do Nothing Democrats should be focused on building up our Country, not wasting everyone’s time and energy on BU… https://t.co/kpxVx4b2Gy"
Wed Oct 02 15:39:07 +0000 2019,"Adam Schiff should only be so lucky to have the brains, honor and strength of Secretary of State Mike Pompeo. For a… https://t.co/U10wg273nt"
Wed Oct 02 15:31:53 +0000 2019,Democrats are trying to undo the Election regardless of FACTS! https://t.co/cQ3B1bGD4L
Wed Oct 02 15:31:03 +0000 2019,Nancy Pelosi just said that she is interested in lowering prescription drug prices &amp; working on the desperately nee… https://t.co/NJLUNwWCVn
Wed Oct 02 15:19:09 +0000 2019,"All of this impeachment nonsense, which is going nowhere, is driving the Stock Market, and your 401K’s, down. But t… https://t.co/TzqQ6FDvF8"
Wed Oct 02 15:02:11 +0000 2019,"Now the press is trying to sell the fact that I wanted a Moat stuffed with alligators and snakes, with an electrifi… https://t.co/vzjHlA3wMe"
Wed Oct 02 14:47:05 +0000 2019,“Nancy Pelosi and the Democrats haven’t met the standards of impeachment. They have to be very careful here.” Jeanne Zaino. @FoxNews
Wed Oct 02 14:27:14 +0000 2019,#DONOTHINGDEMS
Wed Oct 02 14:26:10 +0000 2019,All the Do Nothing Democrats are focused on is Impeaching the President for having a very good conversation with th… https://t.co/n1uFNVlDPG
Wed Oct 02 14:16:47 +0000 2019,"Congressman Adam Schiff should resign for the Crime of, after reading a transcript of my conversation with the Pres… https://t.co/SWi7gOq09g"
Wed Oct 02 13:06:48 +0000 2019,"Massive sections of The Wall are being built at our Southern Border. It is going up rapidly, and built to the highe… https://t.co/i3c6PpMi3X"
Wed Oct 02 12:51:49 +0000 2019,"I won the right to be a presidential candidate in California, in a major Court decision handed down yesterday. It w… https://t.co/CyuPpTo0kS"
Wed Oct 02 12:39:43 +0000 2019,Louisiana Republicans must go out and vote REPUBLICAN in your Governor’s race. A Republican will win if you can for… https://t.co/oO14xgxzQP
Wed Oct 02 00:20:04 +0000 2019,The Greatest Witch Hunt in the history of our Country! https://t.co/7moLU6UTcE
Tue Oct 01 23:41:33 +0000 2019,"As I learn more and more each day, I am coming to the conclusion that what is taking place is not an impeachment, i… https://t.co/8tLcBuk5RO"
Tue Oct 01 22:15:28 +0000 2019,"REPUBLICANS of Louisiana, it is really important for you to go out and vote on October 12th for either Eddie Rispon… https://t.co/knvy9ZcDNB"
Tue Oct 01 15:00:28 +0000 2019,Why isn’t Congressman Adam Schiff being brought up on charges for fraudulently making up a statement and reading it… https://t.co/UZQ6UF8FV1
Tue Oct 01 14:34:45 +0000 2019,"As I predicted, Jay Powell and the Federal Reserve have allowed the Dollar to get so strong, especially relative to… https://t.co/9Y563f6Dpg"
Tue Oct 01 13:19:23 +0000 2019,"So if the so-called “Whistleblower” has all second hand information, and almost everything he has said about my “pe… https://t.co/DNGvlSx1i5"
Tue Oct 01 11:09:57 +0000 2019,"“The congratulatory phone call with the Ukrainian President was PERFECT, unless you heard Liddle’ Adam Schiff’s fra… https://t.co/macxKMW8T5"
Tue Oct 01 11:05:17 +0000 2019,https://t.co/dOta1Z9gtZ
Tue Oct 01 10:54:26 +0000 2019,Congratulations to President Xi and the Chinese people on the 70th Anniversary of the People’s Republic of China!
Tue Oct 01 10:45:21 +0000 2019,"Great job, just in time! https://t.co/KMUXtO8IYz"
Tue Oct 01 10:33:47 +0000 2019,"You cannot judge my Stock Market performance since the Inauguration, which was very good, but only from the day aft… https://t.co/sUMCWsStoO"
Tue Oct 01 10:21:09 +0000 2019,The Corrupt Media refuses to cover this! https://t.co/JIiOE2a2JF
Tue Oct 01 01:18:42 +0000 2019,"Today, I was proud to sign the Autism CARES Bill! We support research for Americans with Autism and their families.… https://t.co/DrbSSEzipM"
Mon Sep 30 23:59:03 +0000 2019,https://t.co/DJLYoma7KB
Mon Sep 30 23:52:54 +0000 2019,THANK YOU! https://t.co/zqbTTlbGmp
Mon Sep 30 21:13:59 +0000 2019,“He misled (Rep. Adam Schiff) MILLIONS of people for the sake of making the case for impeachment. Completely fabric… https://t.co/Ch76l4phvn
Mon Sep 30 20:23:47 +0000 2019,https://t.co/QqEbiqEKkx
